#      energy (eV)      DOS (tetra.)      DOS (gauss.)
    -20.0000000000      0.0000000000      0.0001502657
    -19.9850000000      0.0000000000      0.0001936553
    -19.9700000000      0.0000000000      0.0002482636
    -19.9550000000      0.0000000000      0.0003166098
    -19.9400000000      0.0000000000      0.0004016763
    -19.9250000000      0.0000000000      0.0005069694
    -19.9100000000      0.0000000000      0.0006365808
    -19.8950000000      0.0000000000      0.0007952505
    -19.8800000000      0.0000000000      0.0009884279
    -19.8650000000      0.0000000000      0.0012223291
    -19.8500000000      0.0000000000      0.0015039884
    -19.8350000000      0.0000000000      0.0018412990
    -19.8200000000      0.0000000000      0.0022430422
    -19.8050000000      0.0000000000      0.0027188978
    -19.7900000000      0.0000000000      0.0032794347
    -19.7750000000      0.0000000000      0.0039360740
    -19.7600000000      0.0000000000      0.0047010239
    -19.7450000000      0.0000000000      0.0055871780
    -19.7300000000      0.0000000000      0.0066079775
    -19.7150000000      0.0000000000      0.0077772301
    -19.7000000000      0.0000000000      0.0091088866
    -19.6850000000      0.0000000000      0.0106167732
    -19.6700000000      0.0000000000      0.0123142790
    -19.6550000000      0.0000000000      0.0142140051
    -19.6400000000      0.0000000000      0.0163273757
    -19.6250000000      0.0000000000      0.0186642236
    -19.6100000000      0.0000000000      0.0212323559
    -19.5950000000      0.0000000000      0.0240371163
    -19.5800000000      0.0000000000      0.0270809570
    -19.5650000000      0.0000000000      0.0303630388
    -19.5500000000      0.0000000000      0.0338788784
    -19.5350000000      0.0000000000      0.0376200635
    -19.5200000000      0.0000000000      0.0415740551
    -19.5050000000      0.0000000000      0.0457240988
    -19.4900000000      0.0000000000      0.0500492605
    -19.4750000000      0.0000000000      0.0545246025
    -19.4600000000      0.0000000000      0.0591215096
    -19.4450000000      0.0000000000      0.0638081694
    -19.4300000000      0.0000000000      0.0685502049
    -19.4150000000      0.0000000000      0.0733114508
    -19.4000000000      0.0052005841      0.0780548536
    -19.3850000000      0.0273777638      0.0827434734
    -19.3700000000      0.0495549434      0.0873415520
    -19.3550000000      0.0717321230      0.0918156105
