#      energy (eV)      DOS (tetra.)      DOS (gauss.)
    -19.9998456173      0.0000000000      0.0040041564
    -19.9848457331      0.0000000000      0.0047854167
    -19.9698458489      0.0000000000      0.0056887385
    -19.9548459647      0.0000000000      0.0067268643
    -19.9398460805      0.0000000000      0.0079126850
    -19.9248461963      0.0000000000      0.0092590137
    -19.9098463121      0.0000000000      0.0107783299
    -19.8948464279      0.0000000000      0.0124825002
    -19.8798465436      0.0000000000      0.0143824795
    -19.8648466594      0.0000000000      0.0164880018
    -19.8498467752      0.0000000000      0.0188072679
    -19.8348468910      0.0000000000      0.0213466399
    -19.8198470068      0.0000000000      0.0241103530
    -19.8048471226      0.0000000000      0.0271002528
    -19.7898472384      0.0000000000      0.0303155708
    -19.7748473541      0.0000000000      0.0337527439
    -19.7598474699      0.0000000000      0.0374052881
    -19.7448475857      0.0000000000      0.0412637308
    -19.7298477015      0.0000000000      0.0453156063
    -19.7148478173      0.0000000000      0.0495455166
    -19.6998479331      0.0000000000      0.0539352570
    -19.6848480489      0.0000000000      0.0584640034
    -19.6698481647      0.0000000000      0.0631085580
    -19.6548482804      0.0000000000      0.0678436464
    -19.6398483962      0.0000000000      0.0726422591
    -19.6248485120      0.0102152525      0.0774760301
    -19.6098486278      0.0480309954      0.0823156431
    -19.5948487436      0.0858467384      0.0871312586
    -19.5798488594      0.1236624814      0.0918929544
    -19.5648489752      0.1614782243      0.0965711724
    -19.5498490910      0.1992939673      0.1011371660
    -19.5348492067      0.2371097103      0.1055634451
    -19.5198493225      0.1329217108      0.1098242124
    -19.5048494383      0.1363181713      0.1138957874
    -19.4898495541      0.1397146318      0.1177570161
    -19.4748496699      0.1431110922      0.1213896575
    -19.4598497857      0.1465075527      0.1247787439
    -19.4448499015      0.1499040132      0.1279129056
    -19.4298500173      0.1533004736      0.1307846489
    -19.4148501330      0.1566969341      0.1333905782
    -19.3998502488      0.1600933946      0.1357315465
    -19.3848503646      0.1634898550      0.1378127214
    -19.3698504804      0.1668863155      0.1396435518
    -19.3548505962      0.1702827760      0.1412376225
    -19.3398507120      0.1669701804      0.1426123859
    -19.3248508278      0.1622687260      0.1437887633
    -19.3098509435      0.1575672715      0.1447906156
    -19.2948510593      0.1528658170      0.1456440852
    -19.2798511751      0.1481643625      0.1463768229
    -19.2648512909      0.1434629080      0.1470171173
    -19.2498514067      0.1420511192      0.1475929530
    -19.2348515225      0.1433012524      0.1481310306
    -19.2198516383      0.1445513855      0.1486557879
    -19.2048517541      0.1458015186      0.1491884629
    -19.1898518698      0.1470516517      0.1497462452
    -19.1748519856      0.1483017849      0.1503415576
    -19.1598521014      0.1495519180      0.1509815099
    -19.1448522172      0.1508020511      0.1516675596
    -19.1298523330      0.1520521842      0.1523954070
    -19.1148524488      0.1533023174      0.1531551407
    -19.0998525646      0.1545524505      0.1539316411
    -19.0848526804      0.1558025836      0.1547052342
    -19.0698527961      0.1570527167      0.1554525761
    -19.0548529119      0.1583028499      0.1561477395
    -19.0398530277      0.1595529830      0.1567634575
    -19.0248531435      0.1608031161      0.1572724758
    -19.0098532593      0.1620532492      0.1576489562
    -18.9948533751      0.1633033823      0.1578698684
    -18.9798534909      0.1645535155      0.1579163095
    -18.9648536066      0.1524778618      0.1577746893
    -18.9498537224      0.1521636144      0.1574377271
    -18.9348538382      0.1518493670      0.1569052104
    -18.9198539540      0.1515351197      0.1561844769
    -18.9048540698      0.1512208723      0.1552905915
    -18.8898541856      0.1509066249      0.1542462042
    -18.8748543014      0.1505923775      0.1530810845
    -18.8598544172      0.1502781302      0.1518313444
    -18.8448545329      0.1499638828      0.1505383729
    -18.8298546487      0.1496496354      0.1492475166
    -18.8148547645      0.1493353880      0.1480065537
    -18.7998548803      0.1490211407      0.1468640133
    -18.7848549961      0.1495194748      0.1458674039
    -18.7698551119      0.1501337246      0.1450614160
    -18.7548552277      0.1507479745      0.1444861666
    -18.7398553435      0.1513622243      0.1441755547
    -18.7248554592      0.1519764741      0.1441557937
    -18.7098555750      0.1525907240      0.1444441796
    -18.6948556908      0.1532049738      0.1450481495
    -18.6798558066      0.1538192236      0.1459646726
    -18.6648559224      0.1544334734      0.1471800052
    -18.6498560382      0.1550477233      0.1486698288
    -18.6348561540      0.1556619731      0.1503997740
    -18.6198562697      0.1562762229      0.1523263188
    -18.6048563855      0.1568904728      0.1543980367
    -18.5898565013      0.1575047226      0.1565571515
    -18.5748566171      0.1581189724      0.1587413468
    -18.5598567329      0.1587332223      0.1608857645
    -18.5448568487      0.1593474721      0.1629251193
    -18.5298569645      0.1599617219      0.1647958496
    -18.5148570803      0.1600865806      0.1664382253
    -18.4998571960      0.1586648357      0.1677983308
    -18.4848573118      0.1572430908      0.1688298523
    -18.4698574276      0.1558213459      0.1694956015
    -18.4548575434      0.1543996010      0.1697687219
    -18.4398576592      0.1529778561      0.1696335402
    -18.4248577750      0.1516699425      0.1690860351
    -18.4098578908      0.1518572269      0.1681339188
    -18.3948580066      0.1520445113      0.1667963380
    -18.3798581223      0.1522317956      0.1651032184
    -18.3648582381      0.1524190800      0.1630942903
    -18.3498583539      0.1526063644      0.1608178447
    -18.3348584697      0.1527936488      0.1583292736
    -18.3198585855      0.1529809332      0.1556894591
    -18.3048587013      0.1531682176      0.1529630709
    -18.2898588171      0.1533555020      0.1502168347
    -18.2748589328      0.1535427864      0.1475178271
    -18.2598590486      0.1537300707      0.1449318455
    -18.2448591644      0.1539173551      0.1425218941
    -18.2298592802      0.1541046395      0.1403468168
    -18.2148593960      0.1542919239      0.1384600973
    -18.1998595118      0.1544792083      0.1369088399
    -18.1848596276      0.1546664927      0.1357329322
    -18.1698597434      0.1548537771      0.1349643895
    -18.1548598591      0.1550410615      0.1346268702
    -18.1398599749      0.1554070005      0.1347353541
    -18.1248600907      0.1558033815      0.1352959685
    -18.1098602065      0.1561997624      0.1363059532
    -18.0948603223      0.1565961434      0.1377537523
    -18.0798604381      0.1569925243      0.1396192257
    -18.0648605539      0.1573889053      0.1418739751
    -18.0498606697      0.1577852862      0.1444817824
    -18.0348607854      0.1581816672      0.1473991595
    -18.0198609012      0.1585780481      0.1505760096
    -18.0048610170      0.1589744291      0.1539564022
    -17.9898611328      0.1593708100      0.1574794600
    -17.9748612486      0.1597671910      0.1610803557
    -17.9598613644      0.1601635719      0.1646914128
    -17.9448614802      0.1605599529      0.1682433008
    -17.9298615959      0.1609563338      0.1716663100
    -17.9148617117      0.1613527148      0.1748916866
    -17.8998618275      0.1617490957      0.1778530065
    -17.8848619433      0.1621454767      0.1804875567
    -17.8698620591      0.1581638076      0.1827376969
    -17.8548621749      0.1579496791      0.1845521659
    -17.8398622907      0.1577355507      0.1858872984
    -17.8248624065      0.1575214223      0.1867081192
    -17.8098625222      0.1573072938      0.1869892797
    -17.7948626380      0.1570931654      0.1867158083
    -17.7798627538      0.1568790369      0.1858836469
    -17.7648628696      0.1566649085      0.1844999520
    -17.7498629854      0.1564507801      0.1825831466
    -17.7348631012      0.1562366516      0.1801627113
    -17.7198632170      0.1560225232      0.1772787162
    -17.7048633328      0.1558083948      0.1739810976
